time,seconds_elapsed,z,y,x,z,y,x
1.76967E+18,9.606926025,0.023382045,-0.024493075,-0.020260113,-7.23589E-05,0.002912823,-0.0011478
1.76967E+18,9.616913818,-0.029116204,-0.008527955,-0.012773849,0.000919247,0.002286548,0.000228183
1.76967E+18,9.626902588,0.01099661,-0.011112857,-0.014694369,-0.000625387,0.001329142,-0.001437359
1.76967E+18,9.636890869,0.029404958,-0.017820757,-0.031000776,2.08E-05,0.000984282,-0.002998158
1.76967E+18,9.646879883,0.035520226,-0.021226036,-0.022854806,-0.000929949,0.001034616,-0.004279938
1.76967E+18,9.65686792,0.020998364,-0.016914237,-0.017024346,-0.000832797,0.001306858,-0.002445749
1.76967E+18,9.666856934,0.017710429,-0.021102044,-0.022898937,-0.0007039,0.002784646,-0.002885437
1.76967E+18,9.676844727,-0.001285364,-0.016493308,-0.023821532,0.001005231,0.001821846,-0.001847282
1.76967E+18,9.68683374,0.010251929,-0.016231588,-0.034520402,0.000513079,0.001360587,-0.000123152
1.76967E+18,9.696822754,0.025676878,-0.022321868,-0.049483504,-0.000404455,0.001112792,-0.00049153
1.76967E+18,9.706810791,0.037949499,-0.011898308,-0.027394203,-0.000702462,-0.000412666,-0.000435071
1.76967E+18,9.716799805,0.030909518,-0.013158976,-0.021261326,-0.001120257,-0.000172442,-0.001042175
1.76967E+18,9.726787598,0.031039281,-0.010567937,-0.011118483,0.000125037,-0.000833439,-0.001764158
1.76967E+18,9.736776611,0.030130934,-0.013821678,-0.023801731,-0.000356307,-0.000329102,-0.001483387
1.76967E+18,9.746764404,0.035370589,-0.010175065,-0.015513211,-0.000762972,0.00160675,-0.000110261
1.76967E+18,9.756753174,0.032098435,-0.01760916,-0.022885347,0.000354616,0.000326987,0.000926587
1.76967E+18,9.766741455,0.015494506,-0.019737039,-0.02764131,0.000909618,-0.000254381,-0.000127226
1.76967E+18,9.776730469,0.012209493,-0.00952325,-0.025712899,-0.001162037,-0.001388148,0.003304029
1.76967E+18,9.786718506,0.015662849,-0.016132731,-0.023787191,0.000531201,0.000919481,0.001132487
1.76967E+18,9.796707275,0.026289457,-0.022488895,-0.016039427,0.001680024,0.000726841,-0.00047081
1.76967E+18,9.806696289,-0.000787936,-0.01960501,-0.019085663,-0.000283791,0.00156627,-0.000819418
1.76967E+18,9.816684326,0.001921908,-0.021663623,-0.023999081,-0.000165518,0.001909718,0.000193174
1.76967E+18,9.82667334,0.009575053,-0.004241583,-0.020908713,-0.000188954,0.002593617,-0.00042681
1.76967E+18,9.836661377,0.019628245,-0.016260011,-0.024918022,-0.000253274,0.004069966,0.000689035
1.76967E+18,9.846650391,0.00574585,-0.008542422,-0.025587227,0.000111047,0.003440395,-0.001327244
1.76967E+18,9.856638428,0.018496611,-0.018186083,-0.027178003,0.000111711,0.003451428,-0.000908141
1.76967E+18,9.866627441,0.021381811,-0.012976678,-0.023562297,-0.000872061,0.004051971,-0.001701763
1.76967E+18,9.876615234,0.003626374,-0.01025909,-0.015030323,-0.001496761,0.006329946,-0.001686513
1.76967E+18,9.886604492,0.016849428,-0.010822715,-0.022314342,-0.000650674,0.007118241,-0.001804225
1.76967E+18,9.896592529,0.02364391,-0.012868761,-0.013674963,0.000445157,0.007952143,-0.000528484
1.76967E+18,9.906581299,0.029115035,-0.002986322,-0.02128025,0.000417992,0.007557196,0.000413476
1.76967E+18,9.916570313,0.022607553,-0.010026742,-0.019830709,-0.000714462,0.006838176,0.001308906
1.76967E+18,9.92655835,0.02925649,-0.012908216,-0.019713074,-0.000318982,0.005278629,0.000196504
1.76967E+18,9.936547363,0.014800094,-0.011451734,-0.018303718,-4.47206E-05,0.005267777,-0.001036765
1.76967E+18,9.946535645,0.022035306,-0.020030104,-0.018456936,0.000824535,0.004747129,0.000405603
1.76967E+18,9.956524414,0.017595862,-0.014334084,-0.02348872,0.000487108,0.004402523,0.001153376
1.76967E+18,9.966512207,0.016302316,-0.004601137,-0.016674144,0.000801894,0.003798518,0.002036747
1.76967E+18,9.976501465,0.026225159,-0.006161518,-0.011610504,-0.000803365,0.003019803,0.003355786
1.76967E+18,9.986489502,0.024929274,-0.015187194,-0.019971944,-0.001443056,0.003573474,0.001707023
1.76967E+18,9.996478271,0.024527123,-0.017612667,-0.023866248,0.001497972,0.002030093,0.002636974
1.76967E+18,10.00646655,0.025763387,-0.013203546,-0.023078532,-0.00010898,0.002585628,0.002296355
1.76967E+18,10.01645532,0.032673605,-0.018678616,-0.02693338,0.000735684,0.00176291,0.00040605
1.76967E+18,10.02644434,0.035683892,-0.011458967,-0.031536636,0.000176154,0.001137333,-1.94623E-06
1.76967E+18,10.03643262,0.024463995,-0.021012028,-0.018172055,-0.000615854,-0.000338962,0.000575686
1.76967E+18,10.04642139,0.011151509,-0.015085049,-0.028682489,0.000190285,0.00197639,-0.001049375
1.76967E+18,10.05640942,0.00908347,-0.018197774,-0.034999417,0.000138543,0.003490973,0.0003023
1.76967E+18,10.06639868,0.010911855,-0.000112447,-0.025584231,0.000257054,0.003069128,-0.000107028
1.76967E+18,10.07638647,0.015434885,-0.010999679,-0.02520758,0.000577232,0.001250344,0.000926082
1.76967E+18,10.08637524,0.005884966,-0.026805005,-0.020544337,0.001455543,-0.000176577,0.001183876
1.76967E+18,10.09636328,0.019669162,-0.031745968,-0.034114889,-0.00080226,-5.69515E-06,0.001185697
1.76967E+18,10.10635254,0.030928222,0.000280059,-0.022662571,0.000961552,0.004401837,0.002363347
1.76967E+18,10.11634131,0.00945698,-0.012157105,-0.023586993,-0.000373636,0.00690182,0.00200742
1.76967E+18,10.1263291,-0.0033195,-0.015380524,-0.023058731,-3.14199E-05,0.006563066,0.003035133
1.76967E+18,10.13631836,0.026966333,-0.003341566,-0.030962855,-0.001351127,0.00283757,-0.000605915
1.76967E+18,10.1463064,0.059116206,-0.006537658,-0.026640243,-0.000611567,-0.001438135,-0.002205676
1.76967E+18,10.15629541,0.059423664,-0.016261545,-0.025665187,0.000691765,0.00280402,0.000452898
1.76967E+18,10.16628345,-0.01085691,-0.014937603,-0.02403744,0.001262746,0.002932917,-0.000790532
1.76967E+18,10.17627222,0.009805355,-0.007496274,-0.007835297,0.000560258,0.002714518,-0.000862751
1.76967E+18,10.18626025,0.053818099,-0.017041809,-0.027430005,-0.001693575,0.005016821,-0.001877415
1.76967E+18,10.19624951,0.024821138,-0.020891616,-0.016521146,-0.00074341,0.002805172,-0.000905353
1.76967E+18,10.2062373,-0.007637363,-0.013676862,-0.024758009,-0.000153786,0.000754006,0.000467773
1.76967E+18,10.21622632,-0.003759645,-0.018956191,-0.02808825,0.000391062,-0.000798278,-0.001277465
1.76967E+18,10.22621558,0.006696283,-0.006559797,-0.026070991,0.000660841,0.000521052,-0.000239898
1.76967E+18,10.23620337,-0.001371873,-0.019420594,-0.021911168,0.001181461,0.001135729,-0.000183242
1.76967E+18,10.24619214,0.003439327,-0.010319076,-0.017679961,0.002082408,0.002091005,0.002547297
1.76967E+18,10.25618042,0.012894553,-0.008449848,-0.013101401,-0.001209666,0.000452183,0.002676184
1.76967E+18,10.26616943,0.04329729,-0.003398045,-0.029757498,-0.000532957,0.000842336,0.002201342
