time,seconds_elapsed,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x
1.77E+18,35.65110815,0.026628479,-0.012358985,-0.029804333,0.000296304,-0.000859041,0.000724181
1.77E+18,35.66109619,0.034987727,-0.007577632,-0.038026364,0.000241118,-0.002186504,-0.000769868
1.77E+18,35.67108521,0.017471359,-0.016466566,-0.017009733,-0.001128013,-0.001155595,-0.000542967
1.77E+18,35.68107324,0.014182255,-0.011482677,-0.041514206,-0.000785743,0.001030929,-0.000308374
1.77E+18,35.69106201,0.015985505,-0.020547004,-0.035454906,9.34E-05,0.001058892,-0.000781618
1.77E+18,35.70105029,0.010158406,-0.013831359,-0.027321138,0.000470299,-5.85E-05,0.000971089
1.77E+18,35.71103906,0.020806641,-0.022396614,-0.032766544,0.000848468,-0.000276634,0.003543703
1.77E+18,35.7210271,0.022331074,-0.021318317,-0.02834332,-0.000120005,0.001102291,0.002429354
1.77E+18,35.73101636,0.029222587,-0.005291932,-0.039110506,0.00106377,-0.001408271,0.000515341
1.77E+18,35.74100415,0.02069792,-0.006296068,-0.028346535,0.00122804,-0.000314811,0.000488964
1.77E+18,35.75099292,0.002758943,-0.017792079,-0.034256636,-0.001290245,0.001380291,0.001276993
1.77E+18,35.76098096,0.019998832,-0.022964038,-0.036924978,0.000218556,0.001834588,-0.001262615
1.77E+18,35.77097021,0.031246787,-0.01074775,-0.033730128,0.000630281,0.000775715,-0.001109218
1.77E+18,35.78095825,0.022398294,-0.006843107,-0.04292948,0.000355445,-0.00188332,-0.00035268
1.77E+18,35.79094678,0.024782559,-0.021428974,-0.030242432,0.000626821,0.000661597,4.39E-05
1.77E+18,35.80093481,0.005343699,-0.027537959,-0.019464871,-0.000203619,-0.00017299,-0.003744449
1.77E+18,35.81092383,0.033728082,-0.01426354,-0.04102423,0.000228612,-0.003303269,-0.00330769
1.77E+18,35.82091187,0.045813657,-0.024671244,-0.029952801,-0.000354762,-0.000446758,-0.000516319
1.77E+18,35.83089966,0.005690905,-0.023218086,-0.019269202,-0.000898047,-0.001990326,-0.000527238
1.77E+18,35.84088892,-0.001968085,-0.008586188,-0.027843554,0.000330824,-0.00298311,0.000512778
1.77E+18,35.85087671,0.020132103,-0.014425927,-0.043413318,-0.00109956,-0.003262209,-0.000692569
1.77E+18,35.86086597,0.026841245,-0.01714052,-0.04113792,-0.000370274,0.002055835,-0.000433129
1.77E+18,35.870854,0.021785131,-0.012993556,-0.027381197,0.000645989,7.87E-05,0.002109923
1.77E+18,35.88084277,0.009074702,-0.02109492,-0.021550007,-0.000863756,-0.000850442,0.002377108
1.77E+18,35.89083081,0.027639702,-0.017041699,-0.020838205,-0.000374533,-0.001007036,0.002678845
1.77E+18,35.90081982,0.032730303,-0.013156236,-0.040781946,0.000491746,-0.001352115,0.00029965
1.77E+18,35.91080786,0.021959318,-0.012382877,-0.041106648,0.001222784,-0.000308423,0.000638671
1.77E+18,35.92079688,0.017908582,-0.0093651,-0.028749125,0.001618624,-0.000978785,-0.001220023
1.77E+18,35.93078491,0.012808044,-0.027680107,-0.026555414,-0.001865856,-0.000750552,-0.00120511
1.77E+18,35.94077368,0.016831892,-0.017446261,-0.033227731,-0.001208303,-0.002090387,-0.000828906
1.77E+18,35.95076172,0.019041385,-0.008704663,-0.030591391,0.000594923,-0.001922075,0.000151403
1.77E+18,35.96075098,0.023052959,-0.020673261,-0.039556496,-0.00034655,-6.12E-05,-0.002259892
1.77E+18,35.97073901,0.016900866,-0.020855741,-0.02361673,0.000369042,-0.001817798,-0.002328336
1.77E+18,35.98072754,0.010454759,-0.018187508,-0.039505496,0.000779363,-0.000879563,0.00070942
1.77E+18,35.99071582,0.000285247,-0.010630992,-0.030519495,0.000380954,-6.62E-05,0.002246064
1.77E+18,36.00070483,0.012858313,-0.017847901,-0.031757805,5.87E-05,-0.000417286,0.002568522
1.77E+18,36.01069287,0.015702596,-0.020841603,-0.025375703,0.001098976,-0.000957641,0.002624981
1.77E+18,36.02068188,0.040267713,-0.015170608,-0.035147447,-0.000551202,0.001302766,0.001869275
1.77E+18,36.03066968,0.033254619,-0.014533333,-0.025778877,0.000406737,0.000675592,0.001180315
1.77E+18,36.04065869,0.020557635,-0.017182898,-0.03300006,-0.000437891,0.001810081,0.000816233
1.77E+18,36.05064673,0.01473229,-0.007609635,-0.02829612,0.000772516,0.001165596,-0.000670344
1.77E+18,36.06063599,0.012527473,-0.007528642,-0.028955315,0.000848422,0.002334055,0.000683101
1.77E+18,36.07062378,0.011952304,-0.012265059,-0.029380993,0.000533903,9.83E-05,-0.000970189
1.77E+18,36.08061157,0.000448328,-0.00661087,-0.04148498,-0.000510884,0.001067157,0.000387751
1.77E+18,36.09060083,0.014934534,-0.004406126,-0.0272168,0.000724822,-0.001817579,-0.004488763
1.77E+18,36.10058984,0.026624388,-0.006492394,-0.033473377,6.84E-06,0.005141968,-8.40E-05
1.77E+18,36.11057788,-0.00458499,0.001777202,-0.01311974,0.001806867,0.003431952,-0.001883533
1.77E+18,36.12056592,0.007563713,-0.010968407,-0.023518384,-0.000372303,0.000463327,-0.000839006
1.77E+18,36.13055469,0.031221068,-0.012677038,-0.036309623,-0.000666049,0.00041326,-0.001032085
1.77E+18,36.14054272,0.032424598,-0.014925913,-0.039952363,-0.000325038,-0.000287006,-0.002180853
1.77E+18,36.15053198,0.012089082,-0.015235892,-0.040851504,-0.000228632,0.0018358,0.000147282
1.77E+18,36.16052002,0.002348609,-0.018177864,-0.029252982,-0.00080791,-0.003215741,0.000809529
1.77E+18,36.17050879,0.018640988,-0.021549276,-0.038027094,-0.000476879,0.00093373,0.000192209
1.77E+18,36.18049658,0.008497779,-0.018890323,-0.029293899,-0.001343579,0.002399202,0.000395529
1.77E+18,36.19048584,0.015407997,-0.007832338,-0.029275633,-0.000171522,0.000223932,-0.000425257
1.77E+18,36.20047388,0.022609307,-0.001987557,-0.033934857,-0.000457965,0.002076912,0.001677601
1.77E+18,36.21046289,0.02696984,-0.013799539,-0.036930531,-0.001060106,0.000273952,-0.001470788
1.77E+18,36.22045093,0.028334114,-0.005124102,-0.026044103,-0.000354535,-0.000250664,0.000979255
1.77E+18,36.23043994,0.023392566,-0.009111966,-0.023505525,-0.000897554,5.00E-06,-0.001263926
1.77E+18,36.24042773,0.017713351,-0.017593342,-0.024937019,0.000811373,0.001215708,0.000457513
1.77E+18,36.25041675,0.013097382,-0.006865721,-0.030491877,0.001240408,0.000470556,-0.001827213
1.77E+18,36.26040479,0.007141688,-0.018445903,-0.028817952,0.000264419,0.001966555,-9.84E-05
1.77E+18,36.2703938,0.021996728,-0.01861399,-0.029598143,0.000120875,0.003506661,0.000696794
1.77E+18,36.28038184,0.0093278,-0.014071999,-0.011347031,0.001311069,0.002657835,0.000475504
1.77E+18,36.29037061,0.015357728,-0.017150311,-0.026049364,0.000146735,0.001563276,0.000652071
